sex_age_cat,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
female_89,0.03600739327398739,0.01641177982466472,0.24757110614034572,0.031204062702534993,3.699674020569549e-4,0.023592798030720674,0,0,0
female_90,0.038627069242188894,0.017494613872440695,0.27830480455384976,0.03171913643009225,3.4534694320944e-4,0.02549316182785999,0,0,0
female_91,0.04128348531974247,0.018561424115045765,0.31343943972319016,0.03211675668470425,3.2609119807164516e-4,0.027560426018421277,0,0,0
female_92,0.04405204762943721,0.019578763309368873,0.35436454820352126,0.03237978683108063,3.090061020658885e-4,0.02978469156718245,0,0,0
female_93,0.04680456660663548,0.020477043583460704,0.40010829980606755,0.03254858136103166,2.9492607074619914e-4,0.032190282320877305,0,0,0
female_94,0.049771200942810095,0.021359096867748978,0.4526196361988179,0.032774771735623306,2.8313242684872375e-4,0.03481148046344931,0,0,0
female_95,0.052596518265296405,0.022195059499784755,0.5131544681555928,0.032894420034247994,2.747160257483428e-4,0.03765358922957304,0,0,0
female_96,0.05558200363731237,0.0229903264116827,0.5825648214389637,0.03294835012368179,2.6740283704661304e-4,0.04068531273013189,0,0,0
female_97,0.05875033815254385,0.023721707898678404,0.6608942739481192,0.032984206014378854,2.59454997412588e-4,0.04397286295078767,0,0,0
female_98,0.06196875762444286,0.024473321535792316,0.7504770482815506,0.033115811800456696,2.533599532139908e-4,0.04750887690978099,0,0,0
female_99,0.06540416819531877,0.025290507622858845,0.853550622564555,0.03305654914605069,2.481586252338489e-4,0.05126814119160518,0,0,0
male_0,0.023807505235930476,0.08702985540058485,0.09331311432091523,5.26024911057389e-5,2.9224988716341387e-5,6.90545627861881e-5,0,0,0
male_1,0.022355366649036805,0.06408267817988292,0.08577037107064235,5.914864338089946e-5,5.21474904188946e-5,7.751127508952472e-5,0,0,0
male_2,0.021552617894757774,0.05496924094010196,0.08157125632238563,6.279305231389449e-5,6.952485457008644e-5,8.224327903636012e-5,0,0,0
male_3,0.020964952613889035,0.04685772404709642,0.07834632888845147,6.677033569103672e-5,9.229177920808059e-5,8.703155587193545e-5,0,0,0
male_4,0.020476887844277376,0.04078804581242229,0.07477046121842046,7.084823430451707e-5,1.2253091030690812e-4,9.237316789087918e-5,0,0,0
male_5,0.019954361496409487,0.034486944740219516,0.0720857048783076,7.551096580565431e-5,1.6116907333908092e-4,9.814031797068736e-5,0,0,0
male_6,0.019481963736619756,0.029414422797902025,0.06886920672292218,8.038645417291122e-5,2.1027276410174282e-4,1.0421314390932402e-4,0,0,0
male_7,0.018959270906619467,0.02510041153390414,0.06584964862011056,8.571279372925539e-5,2.702705760654028e-4,1.1040312567891045e-4,0,0,0
male_8,0.018486944762792036,0.021383293538884938,0.062495550180385884,9.115554404466916e-5,3.413507698841279e-4,1.1666308655288174e-4,0,0,0
male_9,0.01811787974227373,0.018266891608709937,0.05857583410920462,9.712747181124137e-5,4.269203690709634e-4,1.2330568609138123e-4,0,0,0
male_10,0.01763730376032759,0.015572427011878413,0.05516674052691311,1.0316451257189909e-4,5.244379612468013e-4,1.3044894322749567e-4,0,0,0
male_11,0.01721672767248781,0.013265203685649736,0.05189642370961933,1.0973812718296185e-4,6.351183153852974e-4,1.3838431704499575e-4,0,0,0
male_12,0.016875835402179483,0.011355393830646016,0.048621916922638966,1.167450884642337e-4,7.513175064103269e-4,1.467059503600106e-4,0,0,0
male_13,0.016456698682848304,0.009726734378267123,0.04551820216104625,1.2395118838560108e-4,8.736581640082313e-4,1.5508546433430412e-4,0,0,0
male_14,0.016179821919157664,0.008362160120045134,0.042807973359259593,1.3137950886860873e-4,9.981085206704795e-4,1.6429680709551304e-4,0,0,0
male_15,0.015752697578070168,0.007190176023783962,0.04022342831132552,1.394697513405904e-4,0.0011236270679994412,1.7377411968913514e-4,0,0,0
male_16,0.015351179682278487,0.006256558220501359,0.03779272333737209,1.4779739215802043e-4,0.0012446588035128965,1.8413406142459455e-4,0,0,0
male_17,0.014952802474639641,0.005446280831811186,0.03564971127585878,1.563746582140818e-4,0.001361860440246917,1.954728633107085e-4,0,0,0
male_18,0.014591102506686389,0.004797308223817653,0.03385597731492938,1.6560284087314845e-4,0.0014730331963147955,2.0794012730372335e-4,0,0,0
male_19,0.01423620771978954,0.004253866483888853,0.032247538017492215,1.751039129654293e-4,0.0015757889312113201,2.208527332156869e-4,0,0,0
male_20,0.013860813242105665,0.0038140039944778515,0.03086965499240172,1.8405601568220113e-4,0.0016730564802207631,2.3482574203253235e-4,0,0,0
male_21,0.013514152600410563,0.003460403263001968,0.02974998571643301,1.9428308785015736e-4,0.0017692216135456796,2.50133492776313e-4,0,0,0
male_22,0.013172880813314929,0.003170765639655043,0.028804337597292607,2.0480942758776188e-4,0.0018607876631579904,2.663646569445653e-4,0,0,0
male_23,0.012855486531981054,0.002940448992226038,0.02810099879899828,2.1593011965294811e-4,0.0019483396602910943,2.838021831381172e-4,0,0,0
male_24,0.01258452675663159,0.002757666351873771,0.027571373850762818,2.2764253721147606e-4,0.002035870629174542,3.027203431208292e-4,0,0,0
male_25,0.01233648530949837,0.0026120018377691558,0.027172453570465716,2.3981820494787257e-4,0.0021243202205373938,3.231117240032459e-4,0,0,0
male_26,0.012111073978040003,0.0025087094924098755,0.02694349115594228,2.527384465173694e-4,0.0022226997475493946,3.451612826935667e-4,0,0,0
male_27,0.011898713207405718,0.0024315666320892685,0.026835759787443195,2.671791208685462e-4,0.002320316877065876,3.693693135649437e-4,0,0,0
male_28,0.011731471836601828,0.0023823637413464944,0.0268498596618915,2.832407926685375e-4,0.0024341450093279516,3.961269986087248e-4,0,0,0
male_29,0.011604657766457326,0.002355351065464602,0.0270207607601179,3.005493417195321e-4,0.0025477915611728454,4.2474712629149734e-4,0,0,0
male_30,0.011512245048317951,0.0023401600241167984,0.027268807529413134,3.193521371653618e-4,0.00267593267864255,0.00045569181171660977,0,0,0
male_31,0.011447716405252911,0.002348159276851172,0.02755579529867251,3.417866406565259e-4,0.002808801409070496,4.896669209381317e-4,0,0,0
male_32,0.011423320319363103,0.0023713405239815847,0.027895005664045746,3.6635533133555455e-4,0.002948546803662175,5.262084818974512e-4,0,0,0
male_33,0.01141501327356009,0.0024051299497810427,0.028377256279291333,3.9433457655424834e-4,0.003099409704779294,5.669034274391573e-4,0,0,0
male_34,0.011421552762761383,0.002449009020647517,0.02887862367889986,4.26966547059133e-4,0.003248756451602467,6.108880385702461e-4,0,0,0
male_35,0.011445974822990871,0.0025018417572045632,0.02949902403255015,4.6446811371049577e-4,0.0034080017547710494,6.600684219460373e-4,0,0,0
male_36,0.011475396571606452,0.0025601218399321675,0.030159205527403317,5.071779918694778e-4,0.0035700790259518868,7.127821560280062e-4,0,0,0
male_37,0.011507994799025353,0.0026247971111332644,0.03088462979307271,5.550772494947462e-4,0.0037387184791018123,7.711195438423106e-4,0,0,0
male_38,0.011511179310313296,0.0026951844243957796,0.03170628529837866,6.111497471385102e-4,0.003905877112519796,8.353885973951245e-4,0,0,0
male_39,0.011508742461124937,0.002764877310006612,0.03265050301430461,6.744367638778805e-4,0.004066913066280471,9.04833784323432e-4,0,0,0
male_40,0.011476460347000082,0.002838161374308026,0.03365231431566795,7.466305263412573e-4,0.004225191533800947,9.815658946566777e-4,0,0,0
male_41,0.011422770259603797,0.002908270776640713,0.03474437140848951,8.287065211262674e-4,0.004380426348826263,0.0010657739637356589,0,0,0
male_42,0.011334787344074436,0.002977621338950131,0.03594170719913699,9.220235422115091e-4,0.004534695182982376,0.0011613732777838734,0,0,0
male_43,0.011211470616297913,0.003044943939331153,0.03717635854700156,0.00102783510869589,0.004691458821683935,0.001264871726508692,0,0,0
male_44,0.011014874188179972,0.003105412901842728,0.03856069481608751,0.001144351709879841,0.004849049778359751,0.0013767304012075137,0,0,0
male_45,0.010817113077040108,0.003159581647847719,0.03999395945652417,0.001273739237632312,0.005003251702620828,0.0015022135869334206,0,0,0
male_46,0.010582960740441502,0.0032079798094245566,0.0415288517005339,0.0014201761844817242,0.005160969944537259,0.0016379511708666875,0,0,0
male_47,0.010329516579241589,0.003247288860091041,0.043091063896473394,0.0015816246992426041,0.005321444844749553,0.0017883854235269518,0,0,0
male_48,0.01007677944024068,0.0032728245743691322,0.044580727178917035,0.0017575233592190456,0.005481224656362707,0.001950299133492411,0,0,0
male_49,0.009813563292508931,0.003294954183214508,0.04606738380208585,0.0019499801707528398,0.005633774998368953,0.0021271067095077097,0,0,0
male_50,0.009565269369477561,0.003308300324148078,0.04746401040699268,0.0021588776642017093,0.005797926222157152,0.002321684372891422,0,0,0
male_51,0.009334340212913884,0.0033201772601585897,0.048740347008685625,0.0023856672893418467,0.00596976518088042,0.002524758961513825,0,0,0
male_52,0.009119124903763973,0.0033252748110923006,0.049947043817189056,0.0026370550039188454,0.006132216712527871,0.002747377826800121,0,0,0
male_53,0.008940948924469621,0.003323696169359226,0.05093152782030841,0.0029039602800522177,0.006294702804675361,0.002991428236743303,0,0,0
male_54,0.008787761210316238,0.0033256125640575836,0.05172979151136257,0.0031914170352103205,0.0064437959005828604,0.0032510566428755024,0,0,0
male_55,0.00868966844435665,0.0033265775432045046,0.052372576524207605,0.0035026888269097207,0.006597487510689521,0.0035241837857260296,0,0,0
male_56,0.008637316159317945,0.00333333918639095,0.052686372089827266,0.0038382010372552213,0.0067396650692994435,0.0038059417298058,0,0,0
male_57,0.008614171564187874,0.0033539721926859837,0.052800857675627186,0.004202185299655197,0.006849287934610787,0.004111938343675252,0,0,0
male_58,0.008645723265786949,0.0033809553422422347,0.05267489981513353,0.004596680222696604,0.006939968599574225,0.0044370180522973444,0,0,0
male_59,0.008720257058404825,0.003424839884707372,0.05247380924786712,0.00501473463395425,0.006985696205009249,0.004765316208407125,0,0,0
male_60,0.008844195137334494,0.003485633237533133,0.05222348414443369,0.005460284678479892,0.0069948295569686155,0.005120407054210147,0,0,0
male_61,0.009013701508335869,0.003570826412344514,0.05199682192146551,0.0059425433973413835,0.006962883778213514,0.0054891186304094515,0,0,0
male_62,0.009234150458382825,0.003677553100653602,0.051825522944640316,0.0064756414598959354,0.006867699227572964,0.005878126397873756,0,0,0
male_63,0.009475751398329135,0.0038058865854694096,0.051649505031098684,0.007048002582927633,0.006705974741866762,0.00628117640404946,0,0,0
male_64,0.009772851997812356,0.003964443463166915,0.05144972007000296,0.007670947291743979,0.006493704267194991,0.0066833238427906096,0,0,0
male_65,0.010098588386385703,0.004152445619040122,0.05163558654410691,0.00833339609804203,0.0062162363603039195,0.007119684256974786,0,0,0
male_66,0.010469569070252833,0.004368742858475845,0.051841711897770086,0.009052387204514692,0.005879366935290845,0.007568632086219696,0,0,0
male_67,0.010870340110967141,0.004614662202923149,0.05233836145220634,0.009824242235842828,0.005488868934156552,0.0080383117744391875,0,0,0
male_68,0.01132284918821413,0.004893640975103626,0.05330199091898798,0.010645243301630693,0.005074838500685443,0.008527255826387366,0,0,0
male_69,0.011835876047400157,0.005195468862525459,0.054493948119746144,0.011503257177063303,0.004636559002710653,0.009025638254173744,0,0,0
